id,canonicalName,displayName,slug,aliases,identityStatus,lifecycleStatus,publicationStatus,officialDomain,officialWebsite,country,headquarters,foundedYear,parentCompany,shortDescriptionEn,categories,families,series,industries,logoAssetPath,sourceRecordIds,checkedAt,contentStatus,seoStatus,seoTitleCore,seoMetaFactual,reviewBlockerCode,reviewBlockerCategory,completenessScore
saacke,SAACKE GmbH,SAACKE,saacke,SAACKE | SAACKE GROUP,CONFIRMED,CURRENT,BRAND_SAFE,saacke.com,https://www.saacke.com/en/,Germany,"Bremen, Germany",1931,,"The source-backed SAACKE portfolio covers combustion and burner systems, thermal-management equipment, and industrial automation and control. The confirmed country record is Germany.",combustion and burner systems | thermal-management equipment | industrial automation and control,Industrial Burners | Marine Burners | Combustion Chambers | Hot-Gas Generators | Burner Controls | Fuel Systems | Marine Boilers | Waste-Heat Recovery Units | Gas-Combustion Units,ATONOX | ROTONOX | SSB | TEMINOX | CCS | se@vis 4 | GCU evo,energy | marine applications | oil and gas | chemical processing | food and pharmaceutical processing | industrial processing | industrial manufacturing,brand-assets/logos/saacke.svg,brand-saacke-company | brand-saacke-industry,2026-08-19,EN_CONTENT_READY,SEO_CORE_READY,SAACKE Combustion and burner systems,"SAACKE manufacturer profile covering combustion and burner systems, thermal-management equipment, and industrial automation and control, based on official company and product sources.",,,100
schimpf,Antriebs- & Regeltechnik Schimpf GmbH,Schimpf,schimpf,SCHIMPF | SCHIMPF ANTRIEBE | ANTRIEBS- UND REGELTECHNIK SCHIMPF,CONFIRMED,CURRENT,BRAND_SAFE,schimpf-antriebe.de,https://schimpf-antriebe.de/de/,Germany,"Waldenbuch, Germany",,,"The source-backed Schimpf portfolio covers drive and motion-control systems, industrial valves and flow control, and gear units and geared drives. The confirmed country record is Germany.",drive and motion-control systems | industrial valves and flow control | gear units and geared drives,Electric Actuators | Gas Control Dampers | Air Control Dampers | High-Temperature Dampers | Gas-Flow Control Valves | Gear Units | Actuator Accessories,00-10 | 00-15 | 01-15 | 02-25 | 02-50 | 03-120 | 04-600 | SVG | SVL | SVA | SVH | SVHT,building systems | chemical processing | industrial manufacturing | factory automation,brand-assets/logos/schimpf.png,brand-schimpf-about | brand-schimpf-products,2026-08-19,EN_CONTENT_READY,SEO_CORE_READY,Schimpf Drive and motion-control systems,"Schimpf manufacturer profile covering drive and motion-control systems, industrial valves and flow control, and gear units and geared drives, based on official company and product sources.",,,100
seipee,SEIPEE S.p.A.,SEIPEE,seipee,SEIPEE | SEIPEE MOTORI ELETTRICI,CONFIRMED,CURRENT,BRAND_SAFE,seipee.it,https://www.seipee.it/,Italy,"Campogalliano, Italy",1972,,"Official SEIPEE material documents a product scope covering electric motors and brakes and couplings. Documented families and lines include Three-Phase Asynchronous Motors, Brake Motors, Single-Phase Motors, Brushless Permanent-Magnet Motors, Synchronous-Reluctance Motors, ATEX Motors, Hygienic Stainless-Steel Motors, Medium- and High-Voltage Motors, Compact Extruded Motors, and iMotor.",electric motors | brakes and couplings,Three-Phase Asynchronous Motors | Brake Motors | Single-Phase Motors | Brushless Permanent-Magnet Motors | Synchronous-Reluctance Motors | ATEX Motors | Hygienic Stainless-Steel Motors | Medium- and High-Voltage Motors | Compact Extruded Motors,iMotor | XTM | YKK | MAAT,industrial processing | industrial manufacturing,brand-assets/logos/seipee.webp,brand-seipee-home | brand-seipee-catalogs,2026-08-19,EN_CONTENT_READY,SEO_CORE_READY,SEIPEE Electric motors,"SEIPEE manufacturer profile covering electric motors and brakes and couplings, based on official company and product sources.",,,100
suntec,SUNTEC,SUNTEC,suntec,SUNTEC | SUNTEC INDUSTRIES | SUNTEC INDUSTRIES FRANCE | SUNTEC INDUSTRIES INC.,CONFIRMED,CURRENT,BRAND_SAFE,suntec.fr,https://www.suntec.fr/en/,,,1984,,"Manufacturer-owned sources identify SUNTEC with pumps and pumping systems, control and regulation equipment, and industrial valves and flow control. Official company information dates its foundation to 1984.",pumps and pumping systems | control and regulation equipment | industrial valves and flow control,Liquid-Fuel Gear Pumps | Micro-Hydraulic Pumps | Combined Gas Valves | Multifunction Gas Valves | Pressure Switches | In-Line Solenoid Valves,A | AE | AJ | AL | ALE | AN | AP | AS | AUV | AT | ATUV | D | E | J | SC | T | TA | TAR | M2N | M3N | M2C | M3C | DMG | F | SL1,building systems | marine applications | industrial processing | transportation,,brand-suntec-about | brand-suntec-home | brand-suntec-support,2026-08-19,EN_CONTENT_READY,SEO_CORE_READY,SUNTEC Pumps and pumping systems,"SUNTEC manufacturer profile covering pumps and pumping systems, control and regulation equipment, and industrial valves and flow control, based on official company and product sources.",,,80
uwt,UWT GmbH,UWT,uwt,UWT GMBH | UWT | UWT LEVEL CONTROL,CONFIRMED,CURRENT,BRAND_SAFE,uwtgroup.com,https://www.uwtgroup.com/en/,Germany,"Betzigau, Bavaria, Germany",1977,,First-party sources establish UWT in measurement and instrumentation and industrial sensors. Official company information dates its foundation to 1977.,measurement and instrumentation | industrial sensors,Rotary-Paddle Level Switches | Vibrating Level Switches | Capacitive Level Sensors | Non-Contact Radar Sensors | Guided-Radar Sensors | Electromechanical Level Measurement | Level Monitoring and Visualisation,Rotonivo | Vibranivo | Mononivo | Capanivo | RFnivo | Micronivo | NivoRadar | NivoGuide | NivoCapa | NivoBob | NivoTec | NivoLED,chemical processing | food and pharmaceutical processing | industrial processing | energy | mining,brand-assets/logos/uwt.webp,brand-uwt-profile | brand-uwt-home,2026-08-19,EN_CONTENT_READY,SEO_CORE_READY,UWT Measurement and instrumentation,"UWT manufacturer profile covering measurement and instrumentation and industrial sensors, based on official company and product sources.",,,100
vickers,Vickers by Danfoss,Vickers,vickers,VICKERS | VICKERS BY DANFOSS | EATON VICKERS,CONFIRMED,CURRENT,BRAND_SAFE,danfoss.com,https://www.danfoss.com/en/about-danfoss/our-businesses/power-solutions/industrial-solutions/,,,,Danfoss,"Official Vickers material documents a product scope covering pumps and pumping systems, hydraulic equipment, industrial valves and flow control, and brakes and couplings. Documented families and lines include Hydraulic Pumps, Hydraulic Motors, Industrial Valves, Hydraulic and Pneumatic Cylinders, Hydraulic Power Units, Packaged Hydraulic Systems, Clutches and Brakes, V, VQ, and VQH.",pumps and pumping systems | hydraulic equipment | industrial valves and flow control | brakes and couplings,Hydraulic Pumps | Hydraulic Motors | Industrial Valves | Hydraulic and Pneumatic Cylinders | Hydraulic Power Units | Packaged Hydraulic Systems | Clutches and Brakes,V | VQ | VQH | VMQ | PVM | Hydrokraft | DG4V | DG5V | DGM,industrial processing | oil and gas | industrial manufacturing,brand-assets/logos/vickers.svg,brand-vickers-danfoss | brand-vickers-vane-pumps | brand-vickers-catalog,2026-08-19,EN_CONTENT_READY,SEO_CORE_READY,Vickers Pumps and pumping systems,"Vickers manufacturer profile covering pumps and pumping systems, hydraulic equipment, and industrial valves and flow control, based on official company and product sources.",,,90
bauermeister,Bauermeister Zerkleinerungstechnik GmbH,Bauermeister,bauermeister,BAUERMEISTER | BAUERMEISTER ZERKLEINERUNGSTECHNIK,CONFIRMED,CURRENT,BRAND_SAFE,bauermeister.de,https://www.bauermeister.de/en/,Germany,"Norderstedt, Germany",1882,PROBAT Group,Manufacturer-owned sources identify Bauermeister with industrial machinery. The confirmed country record is Germany.,industrial machinery,Impact Mills | Roller Mills | Flakers | Laboratory Mills | Air Classifiers | Compact Grinding Systems,UCOM | US11 | UMP | GM | UML | UM | ZWG | LRC | 250 Series | 350 Series | 400 Series | UW | CL | CML | 3S,food and pharmaceutical processing | chemical processing | mining | industrial processing,,brand-bauermeister-about | brand-bauermeister-history | brand-bauermeister-machines,2026-08-19,EN_CONTENT_READY,SEO_CORE_READY,Bauermeister Industrial machinery,"Bauermeister manufacturer profile covering industrial machinery, based on official company and product sources.",,,90
bekum,Bekum Maschinenfabriken GmbH,Bekum,bekum,BEKUM | BEKUM GROUP | BEKUM MASCHINENFABRIKEN,CONFIRMED,CURRENT,BRAND_SAFE,bekum.com,https://www.bekum.com/en/,Germany,"Berlin, Germany",1959,,"The source-backed Bekum portfolio covers filling and packaging machinery, industrial machinery, and industrial automation and control. The confirmed country record is Germany.",filling and packaging machinery | industrial machinery | industrial automation and control,Packaging and Medical Blow-Moulding Machines | Canister and Container Machines | Large-Volume Industrial Machines | Automotive and 3D Blow-Moulding Machines | Extrusion Heads | Extruders | Machine Controls and Automation,SBLOW | EBLOW | BM 704D | BA25 | BA34.2 | XBLOW 50 | XBLOW 100 | XBLOW 200 | XBLOW 300 | BAR 10D | BA 220M/D | BC 8.0,packaging | food and pharmaceutical processing | laboratory and life-science applications | chemical processing | transportation | industrial processing,,brand-bekum-company | brand-bekum-products | brand-bekum-legal,2026-08-19,EN_CONTENT_READY,SEO_CORE_READY,Bekum Filling and packaging machinery,"Bekum manufacturer profile covering filling and packaging machinery, industrial machinery, and industrial automation and control, based on official company and product sources.",,,90
brevini,Brevini Power Transmission S.p.A.,Brevini,brevini,BREVINI | BREVINI POWER TRANSMISSION,CONFIRMED,CURRENT,BRAND_SAFE,brevinipowertransmission.com,https://www.brevinipowertransmission.com/,Italy,,1960,,"Brevini publishes official information for gear units and geared drives, drive and motion-control systems, and hydraulic equipment. The published range names Industrial Planetary Gearboxes, Winch Drives, Slewing Drives, Track Drives, and Wheel Drives.",gear units and geared drives | drive and motion-control systems | hydraulic equipment,Industrial Planetary Gearboxes | Winch Drives | Slewing Drives | Track Drives | Wheel Drives,,industrial processing | industrial manufacturing | marine applications | mining,,brand-brevini-about | brand-brevini-products,2026-08-19,EN_CONTENT_READY,SEO_CORE_READY,Brevini Gear units and geared drives,"Brevini manufacturer profile covering gear units and geared drives, drive and motion-control systems, and hydraulic equipment, based on official company and product sources.",,,85
dinamic-oil,Dinamic Oil S.p.A.,Dinamic Oil,dinamic-oil,DINAMIC OIL | DYNAMIC OIL,CONFIRMED,CURRENT,BRAND_SAFE,dinamicoil.com,https://www.dinamicoil.com/,Italy,,1970,,"The source-backed Dinamic Oil portfolio covers gear units and geared drives, lifting and crane systems, and drive and motion-control systems. The confirmed country record is Italy.",gear units and geared drives | lifting and crane systems | drive and motion-control systems,Planetary Gearboxes | Hoisting Winches | Slewing Drives | Track Drives | Wheel Drives | Electric Hoists,GB | WD | RW | EH | T | SE,industrial processing | industrial manufacturing | marine applications | mining | oil and gas,,brand-dinamic-oil-home | brand-dinamic-oil-literature,2026-08-19,EN_CONTENT_READY,SEO_CORE_READY,Dinamic Oil Gear units and geared drives,"Dinamic Oil manufacturer profile covering gear units and geared drives, lifting and crane systems, and drive and motion-control systems, based on official company and product sources.",,,85
elmot,ELMOT JSC,ELMOT,elmot,ELMOT | ELMOT JSC,CONFIRMED,CURRENT,BRAND_SAFE,elmotbg.com,https://www.elmotbg.com/public/,,,1967,,"ELMOT JSC is documented in official material for electric motors, gear units and geared drives, lifting and crane systems, and industrial machinery. Official product material names Conical-Rotor Brake Motors, Electric Wire-Rope Hoists, Geared Motors, Industrial Cranes, Crane Components, and VMT.",electric motors | gear units and geared drives | lifting and crane systems | industrial machinery,Conical-Rotor Brake Motors | Electric Wire-Rope Hoists | Geared Motors | Industrial Cranes | Crane Components,VMT,industrial processing | industrial manufacturing,,brand-elmot-products,2026-08-19,EN_CONTENT_READY,SEO_CORE_READY,ELMOT Electric motors,"ELMOT manufacturer profile covering electric motors, gear units and geared drives, and lifting and crane systems, based on official company and product sources.",,,80
finder-pompe,FINDER Division of Gruppo Aturia S.p.A.,FINDER Pompe,finder-pompe,FINDER POMPE | FINDER | POMPE VERGANI,CONFIRMED,CURRENT,BRAND_SAFE,gruppoaturia.com,https://www.gruppoaturia.com/products/oil-gas/,Italy,,,Gruppo Aturia S.p.A.,First-party sources establish FINDER Pompe in pumps and pumping systems and vacuum equipment. The confirmed country record is Italy.,pumps and pumping systems | vacuum equipment,API 610 Vertical Pumps | API 610 Overhung Pumps | API 610 Between-Bearings Pumps | API 676 Twin-Screw Pumps | API 685 Magnetic-Drive Pumps,VS1 | VS2 | VS4 | VS6 | VS7 | OH1 | OH2 | OH3 | BB1 | BB2 | BB3 | BB5,oil and gas | chemical processing | energy | industrial processing,,brand-finder-gruppo-aturia,2026-08-19,EN_CONTENT_READY,SEO_CORE_READY,FINDER Pompe Pumps and pumping systems,"FINDER Pompe manufacturer profile covering pumps and pumping systems and vacuum equipment, based on official company and product sources.",,,85
herborner-pumpentechnik,Herborner Pumpentechnik GmbH & Co. KG,Herborner Pumpentechnik,herborner-pumpentechnik,HERBORNER PUMPENTECHNIK | HERBORNER PUMPEN,CONFIRMED,CURRENT,BRAND_SAFE,herborner-pumpen.com,https://www.herborner-pumpen.com/en/,Germany,,,,"Official Herborner Pumpentechnik material documents a product scope covering pumps and pumping systems and filtration and water systems. Documented families and lines include Clean-Water Pumps, Swimming-Pool Pumps, Sewage Pumps, Marine Pumps, Block Pumps, Vertical Pumps, herborner, and UNIBLOCK.",pumps and pumping systems | filtration and water systems,Clean-Water Pumps | Swimming-Pool Pumps | Sewage Pumps | Marine Pumps | Block Pumps | Vertical Pumps,herborner | UNIBLOCK,water and wastewater | marine applications | industrial processing,brand-assets/logos/herborner-pumpentechnik.svg,brand-herborner-info,2026-08-19,EN_CONTENT_READY,SEO_CORE_READY,Herborner Pumpentechnik Pumps and pumping systems,"Herborner Pumpentechnik manufacturer profile covering pumps and pumping systems and filtration and water systems, based on official company and product sources.",,,95
honeywell,Honeywell International Inc.,Honeywell,honeywell,HONEYWELL,CONFIRMED,CURRENT,BRAND_SAFE,honeywell.com,https://automation.honeywell.com/us/en/,United States,,,,"Honeywell publishes official information for industrial automation and control, measurement and instrumentation, industrial sensors, industrial safety equipment, and drive and motion-control systems. The published range names Process Control Systems, Field Instruments, Gas Measurement and Analysis, Industrial Sensors and Switches, Drives, Controllers, SCADA, Warehouse Automation, Experion PKS, and HercuLine.",industrial automation and control | measurement and instrumentation | industrial sensors | industrial safety equipment | drive and motion-control systems,Process Control Systems | Field Instruments | Gas Measurement and Analysis | Industrial Sensors and Switches | Drives | Controllers | SCADA | Warehouse Automation,Experion PKS | HercuLine,factory automation | oil and gas | chemical processing | energy | industrial manufacturing,brand-assets/logos/honeywell.svg,brand-honeywell-products | brand-honeywell-process-instruments,2026-08-19,EN_CONTENT_READY,SEO_CORE_READY,Honeywell Industrial automation and control,"Honeywell manufacturer profile covering industrial automation and control, measurement and instrumentation, and industrial sensors, based on official company and product sources.",,,95
traub,INDEX-Werke GmbH & Co. KG Hahn & Tessky,INDEX TRAUB,traub,INDEX TRAUB | TRAUB | INDEX-WERKE,CONFIRMED,CURRENT,BRAND_SAFE,index-group.com,https://www.index-group.com/en/,Germany,"Esslingen am Neckar, Germany",,,"Manufacturer-owned sources identify INDEX TRAUB with industrial machinery, CNC systems, industrial automation and control, and industrial software. The confirmed country record is Germany.",industrial machinery | CNC systems | industrial automation and control | industrial software,Universal Turning Machines | Turn-Mill Centres | Production Turning Machines | Multi-Spindle Machines | Sliding-Headstock Machines | Automation Solutions | Control and Software,TNL | TNK | TNX | TNA | INDEX ABC | INDEX G | INDEX MS,industrial manufacturing | industrial processing | transportation | aerospace,,brand-index-traub-products | brand-index-traub-downloads,2026-08-19,EN_CONTENT_READY,SEO_CORE_READY,INDEX TRAUB Industrial machinery,"INDEX TRAUB manufacturer profile covering industrial machinery, CNC systems, and industrial automation and control, based on official company and product sources.",,,90
jutec,JUTEC Biegesysteme GmbH & Co. KG,JUTEC,jutec,JUTEC | JUTEC BIEGESYSTEME,CONFIRMED,CURRENT,BRAND_SAFE,jutec.de,https://www.jutec.de/,Germany,,,,"JUTEC publishes official information for industrial machinery and industrial automation and control. The published range names Mandrel Bending Systems, Mandrelless Bending Systems, Bending Controls, Tube and Profile Bending Machines, 3000, 4800, 5000, 6000SB, 6000D, and 7000.",industrial machinery | industrial automation and control,Mandrel Bending Systems | Mandrelless Bending Systems | Bending Controls | Tube and Profile Bending Machines,3000 | 4800 | 5000 | 6000SB | 6000D | 7000 | 9000,industrial processing | industrial manufacturing,brand-assets/logos/jutec.png,brand-jutec-home,2026-08-19,EN_CONTENT_READY,SEO_CORE_READY,JUTEC Industrial machinery,"JUTEC manufacturer profile covering industrial machinery and industrial automation and control, based on official company and product sources.",,,95
lightnin,Lightnin,Lightnin,lightnin,LIGHTNIN | LIGHTNIN MIXERS,CONFIRMED,CURRENT,BRAND_SAFE,spxflow.com,https://www.spxflow.com/lightnin,,,,SPX FLOW,"Lightnin publishes official information for industrial machinery and drive and motion-control systems. The published range names Top-Entry Mixers, Side-Entry Mixers, Portable Mixers, Sanitary Mixers, Magnetic Mixers, Line Blenders, Mixer Impellers, 980 Series, Series 10, and 70 Series.",industrial machinery | drive and motion-control systems,Top-Entry Mixers | Side-Entry Mixers | Portable Mixers | Sanitary Mixers | Magnetic Mixers | Line Blenders | Mixer Impellers,980 Series | Series 10 | 70 Series | 700/800 Series | 500/600 Series | ECL | EV | MagMixer,water and wastewater | chemical processing | food and pharmaceutical processing | mining,,brand-lightnin-spx | brand-lightnin-catalog,2026-08-19,EN_CONTENT_READY,SEO_CORE_READY,Lightnin Industrial machinery,"Lightnin manufacturer profile covering industrial machinery and drive and motion-control systems, based on official company and product sources.",,,80
loos,Bosch Industriekessel GmbH,LOOS,loos,LOOS | LOOS INTERNATIONAL | LOOS INTERNATIONAL BOILER SYSTEMS,CONFIRMED,LEGACY_BRAND,BRAND_SAFE,bosch-industrial.com,https://www.bosch-industrial.com/gb/en/commercial-industrial/knowledge/about-us/bosch-industrial-boilers/,Germany,"Gunzenhausen, Germany",1865,Robert Bosch GmbH,"Official LOOS material documents a product scope covering industrial machinery, thermal-management equipment, and industrial automation and control. Documented families and lines include Steam Boilers, Hot Water Boilers, Heating Boilers, Boiler House Components, and Boiler Control Systems.",industrial machinery | thermal-management equipment | industrial automation and control,Steam Boilers | Hot Water Boilers | Heating Boilers | Boiler House Components | Boiler Control Systems,,industrial processing | energy | food and pharmaceutical processing,brand-assets/logos/loos.svg,brand-loos-bosch-history | brand-loos-bosch-products,2026-08-20,EN_CONTENT_READY,SEO_CORE_READY,LOOS Industrial machinery,"LOOS manufacturer profile covering industrial machinery, thermal-management equipment, and industrial automation and control, based on official company and product sources.",,,95
niro-soavi,GEA Niro Soavi,Niro Soavi,niro-soavi,NIRO SOAVI | GEA Niro Soavi | GEA Homogenizer,CONFIRMED,CURRENT,BRAND_SAFE,gea.com,https://www.gea.com/en/products/homogenizers/,Italy,,1947,GEA Group,"Official Niro Soavi material documents a product scope covering laboratory and analytical equipment and pumps and pumping systems. Documented families and lines include Industrial Homogenizers, Laboratory Homogenizers, Skid-Mounted Homogenizers, Homogenizing Valves, Compression Blocks, Homogenizing Peripheral Devices, Ariete, Kob, One, and PandaPLUS.",laboratory and analytical equipment | pumps and pumping systems,Industrial Homogenizers | Laboratory Homogenizers | Skid-Mounted Homogenizers | Homogenizing Valves | Compression Blocks | Homogenizing Peripheral Devices,Ariete | Kob | One | PandaPLUS | TriplexPanda | XStream | NiSoX-Valve | NanoVALVE | OpenXFLO,food and pharmaceutical processing | industrial processing | chemical processing,,brand-niro-soavi-history | brand-niro-soavi-products | brand-niro-soavi-brochure,2026-08-19,EN_CONTENT_READY,SEO_CORE_READY,Niro Soavi Laboratory and analytical equipment,"Niro Soavi manufacturer profile covering laboratory and analytical equipment and pumps and pumping systems, based on official company and product sources.",,,85
sic-marking,SIC Marking,SIC MARKING,sic-marking,SIC MARKING | Société Industrielle de Commercialisation,CONFIRMED,CURRENT,BRAND_SAFE,sic-marking.com,https://www.sic-marking.com/,France,,1992,,"SIC MARKING publishes official information for industrial machinery. The published range names Laser Marking Machines, Dot-Peen Marking Machines, Scribing Marking Machines, Portable Marking Machines, Workstation Marking Machines, Integrated Marking Systems, Custom Marking Systems, E-MARK EVO, i104, and L-MOOV.",industrial machinery,Laser Marking Machines | Dot-Peen Marking Machines | Scribing Marking Machines | Portable Marking Machines | Workstation Marking Machines | Integrated Marking Systems | Custom Marking Systems,E-MARK EVO | i104 | L-MOOV | L-BOX | XL-BOX | XXL-BOX | TAGMARK LASER,transportation | aerospace | industrial manufacturing | industrial processing | energy | food and pharmaceutical processing,brand-assets/logos/sic-marking.svg,brand-sic-marking-group | brand-sic-marking-products | brand-sic-marking-home,2026-08-19,EN_CONTENT_READY,SEO_CORE_READY,SIC MARKING Industrial machinery,"SIC MARKING manufacturer profile covering industrial machinery, based on official company and product sources.",,,95
univer,UNIVER Automation S.r.l.,UNIVER GROUP,univer,UNIVER | UNIVER GROUP | UNIVER Automation,CONFIRMED,CURRENT,BRAND_SAFE,univer-group.com,https://www.univer-group.com/en/,Italy,,1971,,"UNIVER Automation S.r.l. is documented in official material for pneumatic equipment and industrial automation and control. Official product material names Cylinders, High-Tech Automation Components, Valves, Air Treatment, Fittings and Hoses, IO-Link Devices, AG, AF, RT, and OV.",pneumatic equipment | industrial automation and control,Cylinders | High-Tech Automation Components | Valves | Air Treatment | Fittings and Hoses | IO-Link Devices,AG | AF | RT | OV | W | L1-N,factory automation | transportation | packaging | industrial processing,brand-assets/logos/univer.jpg,brand-univer-home | brand-univer-pneumatics | brand-univer-documentation,2026-08-19,EN_CONTENT_READY,SEO_CORE_READY,UNIVER GROUP Pneumatic equipment,"UNIVER GROUP manufacturer profile covering pneumatic equipment and industrial automation and control, based on official company and product sources.",,,95
versa-matic,Versamatic,Versamatic,versa-matic,VERSA MATIC | Versa-Matic | Versa-Matic Pump Company,CONFIRMED,CURRENT,BRAND_SAFE,versamatic.com,https://www.versamatic.com/,United States,"Mansfield, Ohio, United States",1983,IDEX Corporation,Manufacturer-owned sources identify Versamatic with pumps and pumping systems. The confirmed country record is United States.,pumps and pumping systems,Bolted Metal AODD Pumps | Bolted Plastic AODD Pumps | Clamped Metal AODD Pumps | Hygienic AODD Pumps | High-Pressure AODD Pumps | Pump Parts and Accessories,Valor | Elima-Matic | Versa-Dome | FUSION | Rockstar,mining | food and pharmaceutical processing | chemical processing | marine applications,brand-assets/logos/versa-matic.webp,brand-versamatic-about | brand-versamatic-pumps | brand-versamatic-catalog,2026-08-19,EN_CONTENT_READY,SEO_CORE_READY,Versamatic Pumps and pumping systems,"Versamatic manufacturer profile covering pumps and pumping systems, based on official company and product sources.",,,100
acovent,ACOVENT,ACOVENT,acovent,,REVIEW_REQUIRED,UNKNOWN,BRAND_REVIEW,,,,,,,,,,,,,,,NOT_READY,NOT_READY,,,AMBIGUOUS_IDENTITY,AMBIGUOUS_IDENTITY,0
ajax-tocco-magnetermic,Ajax TOCCO Magnethermic,Ajax TOCCO Magnethermic,ajax-tocco-magnetermic,AJAX TOCCO MAGNETHERMIC | Ajax TOCCO | Ajax Tocco,CONFIRMED,CURRENT,BRAND_SAFE,ajaxtocco.com,https://www.ajaxtocco.com/,United States,,1916,Park-Ohio Holdings Corp.,First-party sources establish Ajax TOCCO Magnethermic in thermal-management equipment. Official company information dates its foundation to 1916.,thermal-management equipment,Induction Heating Systems | Induction Heat-Treating Systems | Induction Melting Systems | Induction Forging and Forming Systems | Strip Heating Systems | Bar and Tube Heating Systems | Induction Power Supplies | Induction Coils and Inductors,Autotron | CFC III | Pacer HF | Pacer II | Pacer RF | Pacer T | TOCCOtron 400 | TOCCOtron AC | PowerForge | PowerZone,transportation | aerospace | industrial processing | energy | mining | laboratory and life-science applications | industrial manufacturing,brand-assets/logos/ajax-tocco-magnetermic.webp,brand-ajax-tocco-history | brand-ajax-tocco-products | brand-ajax-tocco-solutions,2026-08-19,EN_CONTENT_READY,SEO_CORE_READY,Ajax TOCCO Magnethermic Thermal-management equipment,"Ajax TOCCO Magnethermic manufacturer profile covering thermal-management equipment, based on official company and product sources.",,,95
ako-armaturen,AKO Armaturen & Separationstechnik GmbH,AKO Armaturen,ako-armaturen,AKO ARMATUREN | AKO Pinch Valves,CONFIRMED,CURRENT,BRAND_SAFE,ako-armaturen.de,https://www.ako-armaturen.de/,Germany,,1984,,"AKO Armaturen & Separationstechnik GmbH is documented in official material for industrial valves and flow control. Official product material names Pneumatic Pinch Valves, Mechanical Pinch Valves, Pinch-Valve Sleeves, Flat-Slide Valves, Pressure-Relief Valves, In-Line Pressure Compensators, Valve-Control Accessories, V, VF, and VM.",industrial valves and flow control,Pneumatic Pinch Valves | Mechanical Pinch Valves | Pinch-Valve Sleeves | Flat-Slide Valves | Pressure-Relief Valves | In-Line Pressure Compensators | Valve-Control Accessories,V | VF | VM | VMC | VMP | OV | RV | RVA,industrial processing | food and pharmaceutical processing | chemical processing,brand-assets/logos/ako-armaturen.png,brand-ako-armaturen-company | brand-ako-armaturen-products | brand-ako-armaturen-documentation,2026-08-19,EN_CONTENT_READY,SEO_CORE_READY,AKO Armaturen Industrial valves and flow control,"AKO Armaturen manufacturer profile covering industrial valves and flow control, based on official company and product sources.",,,95
ako-regelungstechnik,AKO Regelungstechnik GmbH & Co. KG,AKO Regelungstechnik,ako-regelungstechnik,AKO REGELUNGSTECHNIK | AKO Temperature Regulators,CONFIRMED,CURRENT,BRAND_SAFE,ako-regelungstechnik.de,https://www.ako-regelungstechnik.de/language/en/,Germany,,1946,,Manufacturer-owned sources identify AKO Regelungstechnik with control and regulation equipment and industrial valves and flow control. The confirmed country record is Germany.,control and regulation equipment | industrial valves and flow control,Pressure-Reducing Valves | Overflow Valves | Differential-Pressure Regulators | Temperature Regulators | Electrically Heated Start-Up Systems,,marine applications | industrial processing | energy | transportation | aerospace,brand-assets/logos/ako-regelungstechnik.jpg,brand-ako-regelungstechnik-about | brand-ako-regelungstechnik-pressure | brand-ako-regelungstechnik-datasheets,2026-08-19,EN_CONTENT_READY,SEO_CORE_READY,AKO Regelungstechnik Control and regulation equipment,"AKO Regelungstechnik manufacturer profile covering control and regulation equipment and industrial valves and flow control, based on official company and product sources.",,,95
alemite,Alemite LLC,Alemite,alemite,ALEMITE | Alemite Lubrication Company,CONFIRMED,CURRENT,BRAND_SAFE,skf.com,https://www.skf.com/alemite/,United States,,1918,SKF,"Alemite LLC is documented in official material for lubrication systems, pumps and pumping systems, industrial valves and flow control, and industrial automation and control. Official product material names Grease Guns, Lubrication Pumps, Transfer Pumps, Hose Reels, Fluid Meters and Dispensing Valves, Grease Fittings, Automatic Lubrication Systems, Oil-Mist Systems, and RAM.",lubrication systems | pumps and pumping systems | industrial valves and flow control | industrial automation and control,Grease Guns | Lubrication Pumps | Transfer Pumps | Hose Reels | Fluid Meters and Dispensing Valves | Grease Fittings | Automatic Lubrication Systems | Oil-Mist Systems,RAM,industrial processing | agriculture | transportation | wood and paper processing | aerospace | marine applications | mining,,brand-alemite-overview | brand-alemite-catalog | brand-alemite-fittings,2026-08-19,EN_CONTENT_READY,SEO_CORE_READY,Alemite Lubrication systems,"Alemite manufacturer profile covering lubrication systems, pumps and pumping systems, and industrial valves and flow control, based on official company and product sources.",,,85
allison-systems-corporation,Allison Systems Corporation,Allison Systems,allison-systems-corporation,ALLISON SYSTEMS CORPORATION | Allison Blades,CONFIRMED,CURRENT,BRAND_SAFE,allisonblades.com,https://www.allisonblades.com/,United States,,1968,,The source-backed Allison Systems portfolio covers sealing components. The confirmed country record is United States.,sealing components,Metal Doctor Blades | Plastic Doctor Blades | Composite Doctor Blades | Flexographic Doctor-Blade Systems | Gravure Doctor-Blade Systems | Chamber End Seals | Blade Accessories,CB | CX | CXP4 | CSV | SS | QRE | QREP | Nano II | Nano III,packaging,brand-assets/logos/allison-systems-corporation.png,brand-allison-systems-about | brand-allison-systems-products | brand-allison-systems-catalog,2026-08-19,EN_CONTENT_READY,SEO_CORE_READY,Allison Systems Sealing components,"Allison Systems manufacturer profile covering sealing components, based on official company and product sources.",,,95
